provider,model,monthly_spend_usd,token_usage_millions,users,adoption_rate_pct,hours_saved_monthly,cost_avoidance_usd,revenue_impact_usd,business_value_usd,value_realization_ratio,productivity_efficiency,adoption_efficiency,token_efficiency,asf_value_score,primary_use_case,maturity
OpenAI,GPT-4o,85000,42000,1200,68,8400,320000,180000,500000,5.88,9.88,0.0008,11.90,74,Code review + documentation,Production
OpenAI,GPT-4o mini,12000,28000,2400,82,12800,95000,0,95000,7.92,10.67,0.0068,3.39,78,High-volume classification,Production
OpenAI,o3,220000,8000,180,31,1800,110000,420000,530000,2.41,8.18,0.0001,66.25,52,Complex reasoning tasks,Pilot
Anthropic,Claude Sonnet 4.6,95000,38000,1800,74,14200,480000,260000,740000,7.79,14.95,0.0008,19.47,82,Long-form analysis + coding,Production
Anthropic,Claude Opus 4.6,180000,12000,420,45,5200,290000,380000,670000,3.72,28.89,0.0003,55.83,61,Executive research,Pilot
Anthropic,Claude Haiku 4.5,8000,52000,3200,88,18600,140000,0,140000,17.50,23.25,0.0110,2.69,86,Customer support automation,Production
Google,Gemini 1.5 Flash,6000,85000,4100,91,24000,195000,0,195000,32.50,40.00,0.0152,2.29,91,Document processing at scale,Production
Google,Gemini 1.5 Pro,42000,65000,1100,62,9800,380000,190000,570000,13.57,23.33,0.0015,8.77,84,Long-document analysis,Production
Google,Gemini 2.5 Flash,18000,48000,2200,79,15400,285000,120000,405000,22.50,85.56,0.0044,8.44,88,Reasoning at scale,Production
DeepSeek,DeepSeek V3.2,4200,38000,980,71,8200,165000,0,165000,39.29,195.24,0.0169,4.34,89,Cost-first enterprise,Production
DeepSeek,DeepSeek R1,18000,22000,440,38,3800,95000,180000,275000,15.28,211.11,0.0021,12.50,68,Reasoning tasks,Pilot
xAI,Grok-2,35000,18000,620,52,5400,185000,95000,280000,8.00,154.29,0.0015,15.56,71,Real-time analysis,Pilot
Mistral,Mistral Large,28000,24000,880,66,7800,220000,85000,305000,10.89,278.57,0.0024,12.71,76,European enterprise,Production
Mistral,Mistral Small,5500,32000,1600,78,11200,145000,0,145000,26.36,203.64,0.0142,4.53,83,Cost-efficient European,Production
Meta,Llama 3.3 70B,22000,120000,2800,84,19800,380000,0,380000,17.27,900.00,0.0038,3.17,87,Self-hosted enterprise,Production
